USER_ID,ITEM_ID,EVENT_TYPE,TIMESTAMP
171,3309,click,964982703
548,1625,view,964981247
541,1482,view,964982224
224,5139,buy,964983815
54,535,click,964982931
466,2257,buy,964982400
513,6,buy,964980868
301,7436,click,964982176
100,9354,view,964984041
517,8585,click,964984100
444,1713,click,964983650
432,3753,buy,964981208
179,532,view,964980985
169,3077,click,964981179
108,9265,view,964980908
473,2217,view,964981680
59,8316,buy,964982967
63,8915,view,964982310
228,9776,buy,964981179
168,6224,view,964982563
346,7519,view,964980962
380,6668,click,964982588
235,1826,buy,964981710
159,2227,view,964982363
63,5653,buy,964980868
46,5895,click,964981909
451,3540,view,964982346
263,883,view,964981208
242,8386,buy,964984002
319,9277,view,964981179
525,9068,view,964982653
606,8585,buy,964984153
214,7054,view,964982546
603,7652,buy,964982271
101,5253,view,964983793
224,5986,view,964982838
354,5921,click,964982931
346,4201,click,964982563
432,6865,click,964982838
50,4136,click,964981775
364,2598,click,964982400
84,5512,buy,964982653
544,2947,view,964984086
467,8916,view,964980499
203,6515,view,964982475
127,9865,buy,964981529
360,1703,click,964982176
197,6662,view,964983614
120,7248,view,964983219
380,3876,view,964981775
415,8791,view,964982681
339,3462,view,964982876
356,992,view,964982791
550,7690,buy,964982855
208,8187,view,964982903
252,5585,click,964982653
599,7172,click,964982791
84,2560,view,964981179
436,801,view,964982400
507,7432,buy,964980924
42,3088,buy,964981680
301,5384,buy,964981327
67,887,click,964982951
192,7318,buy,964984018
150,8770,view,964983484
435,4757,buy,964981680
550,9532,view,964982513
53,7605,view,964981327
165,5704,view,964981827
520,6162,click,964981872
448,1284,buy,964981827
9,4478,buy,964983737
94,8414,click,964983250
347,9002,buy,964980499
219,5570,click,964982951
173,9191,view,964981855
33,6509,buy,964983393
75,9456,view,964981909
468,8182,view,964981909
12,4220,view,964984018
514,5328,view,964983618
256,9665,click,964983723
557,9003,view,964981442
330,6212,click,964983414
560,9017,view,964983599
205,7252,view,964983705
323,2244,buy,964982290
338,5336,buy,964983414
110,5779,view,964982703
478,6741,view,964981909
4,7172,click,964984086
28,4893,view,964983393
381,1192,view,964982653
293,4029,buy,964983017
345,1800,view,964982310
413,59,buy,964984112
394,1752,view,964980875
544,7119,view,964980985
242,7692,click,964981107
206,9110,view,964982620
543,6250,buy,964982290
10,8101,click,964981125
561,9246,buy,964982346
168,6192,view,964982951
466,4851,click,964983056
336,6218,buy,964983504
220,6217,view,964983536
430,8605,view,964982620
30,6025,click,964981125
62,8485,click,964981230
578,3797,view,964981404
580,2086,buy,964983034
12,1701,buy,964983056
123,2764,click,964981780
529,8024,view,964981497
334,2424,view,964982176
314,6654,view,964981710
115,9390,view,964982211
230,654,view,964981710
576,6297,view,964984176
47,2096,view,964980523
443,2709,view,964981888
472,54,view,964982903
558,915,buy,964982563
473,5510,view,964982791
301,1577,view,964981747
58,2546,click,964982400
568,3094,click,964982838
488,7793,click,964982838
51,6474,click,964981710
63,470,view,964982653
63,4698,buy,964982838
14,5737,buy,964982588
232,4548,view,964981725
261,5796,view,964982529
467,3734,view,964982876
124,4919,click,964982791
321,6690,view,964982791
89,9859,click,964982838
474,2318,click,964981725
477,9777,view,964981710
54,7411,click,964981680
239,4981,buy,964981710
559,9550,view,964981775
263,1528,click,964982989
357,4225,click,964982310
140,2928,buy,964983664
596,7464,view,964983263
528,1057,click,964983546
409,1330,view,964983861
443,1552,buy,964982462
515,5914,view,964983123
581,2778,view,964983094
79,6665,click,964981093
542,7193,view,964982310
119,6430,click,964982513
357,2654,buy,964982242
415,7060,click,964982620
501,8212,buy,964983414
242,4345,view,964982588
554,6782,view,964984169
536,7856,click,965719662
598,1477,click,964981278
176,6550,view,964982328
18,6638,click,964982242
92,6381,view,964981265
501,9689,buy,964981888
181,903,view,964983000
118,1981,click,964981144
102,9261,click,964983080
271,5432,buy,964982588
540,8199,view,964980523
184,1125,click,964982377
593,4427,buy,964982620
584,8938,click,964983393
530,9121,view,964983414
414,1947,view,964983393
34,4252,click,964983426
330,3874,view,964981855
574,2471,view,964980985
408,8757,click,964983414
81,3718,view,964982703
53,6496,view,964981710
463,184,click,964980523
584,9384,view,964980868
585,1359,click,964981680
405,3640,view,964982703
255,7100,buy,964982290
567,458,click,964981872
577,9329,click,964982176
383,664,buy,964982191
63,3638,buy,964981888
573,3391,view,964983282
268,8210,view,964983034
241,6493,view,964982495
346,7242,buy,964982271
586,271,click,964982242
408,3302,view,964980896
316,2150,view,964983762
222,2369,buy,964982791
165,5915,view,964981208
557,2041,view,964984086
118,5396,view,964981872
387,8684,view,964983873
247,7952,view,964982495
86,9531,buy,964983504
595,3447,click,964981093
555,986,view,964983108
190,1714,view,964981107
59,6863,buy,964983536
508,4417,view,964983484
558,930,buy,964981799
261,7087,view,964981799
143,7734,click,964982328
235,5832,view,964984054
280,9738,buy,964981144
101,864,view,964981725
488,8051,click,964981775
308,1076,view,964982271
29,6953,click,964980668
560,5951,view,964980683
235,4967,view,964982271
62,1931,buy,964981589
513,6697,buy,964983737
399,7932,click,964981909
317,5150,buy,964982363
415,4238,view,964982417
41,1687,view,964980694
260,4896,click,964981855
172,8551,click,964981220
417,2538,click,964982903
420,7412,view,964984002
3,2329,view,1445714835
171,4153,view,1445715029
62,9979,view,1445715228
309,565,view,1445714885
228,3333,view,1445714952
210,3942,view,1445714960
90,3038,click,1445715013
331,4024,view,1445715064
337,7411,view,1445715141
583,5420,view,1445714980
430,8012,view,1445715154
370,4865,click,1445714974
49,429,click,1445714926
153,1379,click,1445714941
159,5466,view,1445714841
363,6034,click,1445715340
315,8436,view,1445715172
227,3492,buy,1445715166
147,4522,click,1445715189
562,9971,buy,1445714891
177,9135,view,1445714938
144,2566,view,1445714874
290,9359,view,1445714966
243,8755,click,1445715145
147,4010,buy,1445714882
33,2031,view,1445715276
106,23,view,1445714854
315,8901,click,1445715272
434,3223,buy,1445714851
336,1104,view,1306463578
127,8497,click,1306464275
174,264,view,1306463619
134,9564,view,1306464228
311,1468,view,1306463595
376,855,click,1306463611
85,8529,view,1306463567
408,3111,click,1306463627
283,2228,view,1306464216
121,3753,buy,1306463569
511,2219,click,1306463624
550,4266,view,1306463323
221,6216,view,1306464189
228,7526,view,1306463561
465,2163,view,1306464003
95,9098,click,1306464175
227,853,click,1306463572
101,5091,view,1306464261
191,7842,view,1306463559
177,4415,buy,1306463631
392,3298,view,1306464293
469,5216,buy,1306463925
351,3513,view,1306464054
365,9735,view,1306463638
323,982,click,1306463603
101,997,click,1306464245
6,108,click,1306463770
247,2180,view,1306464284
259,1593,buy,1306463718
316,1397,view,1306463708
135,9416,view,1306464021
438,7869,view,1306463825
233,9225,buy,1306464204
155,2083,view,1306463670
430,9921,view,1306464036
469,5673,view,1306463684
116,2734,buy,1306463993
390,146,view,1306463815
222,1080,view,1306464164
458,8524,view,986935199
27,5089,view,945173447
508,12,click,986935047
595,5033,click,945173425
167,6598,click,964622786
6,8903,view,964538444
140,5000,buy,986848784
467,4179,click,964622758
184,8734,view,986848920
373,9215,buy,945078571
159,7528,click,945078428
510,8568,click,964622565
159,199,view,945079259
300,1206,view,945079078
128,9079,click,945629040
266,325,buy,964622684
115,7821,view,945173513
398,1440,buy,986848894
144,9960,view,945079259
270,4002,buy,964538468
177,5472,view,945173350
260,5173,click,945079182
22,411,buy,964538500
30,4839,view,945629063
371,2121,click,964622786
488,1358,click,986934901
566,1725,view,964623306
475,5400,view,945078690
469,146,view,945078467
487,4963,view,986934915
530,8505,view,986848828
597,602,click,945079259
196,170,click,945174290
510,836,view,945079872
595,1002,view,945079106
53,8863,view,945078636
264,908,click,964538832
367,7054,click,945079301
277,2211,buy,945079670
54,5029,click,964539986
570,2216,view,986848609
109,6819,click,945078587
35,8845,click,964540008
591,9528,click,945079906
44,6608,click,986935230
553,5660,click,945078601
270,8218,click,945079106
338,5389,buy,964622714
251,9742,view,964623347
252,5334,buy,945079653
128,7673,buy,945078446
513,4264,view,945079837
369,599,click,945173902
335,7580,click,945173989
95,7110,click,945173902
212,8403,view,945079670
516,3111,view,945079521
471,325,view,945173602
31,8055,view,964538571
522,913,click,986849085
336,8102,view,945079232
74,9354,buy,945173654
45,3465,click,964540578
363,8734,view,986934819
216,7339,buy,945079483
307,8469,click,945173692
197,2465,view,945078946
316,5115,view,986934696
465,4969,view,945079259
61,4079,buy,964539723
460,1518,buy,964538500
244,1196,buy,964539723
547,8103,view,986934625
468,1727,click,964539180
274,5605,click,964778513
167,3044,view,964538500
571,6808,view,964538763
560,993,click,964538763
358,5628,view,964538728
67,8432,view,945078967
159,6158,buy,945174025
575,8572,click,964539205
257,3638,view,945079729
61,4324,buy,964539961
505,2621,view,964539326
257,6633,view,945174008
450,100,view,964538728
72,2061,click,964622684
277,1512,buy,986849037
27,7826,view,986934832
478,264,buy,945079653
575,2849,view,945078690
363,7122,view,945079653
142,9002,view,964538763
495,3891,buy,945078467
402,4924,click,945173766
328,4059,view,945079767
394,9348,view,945173492
114,6747,click,964622830
603,8960,view,945079790
488,1015,view,986935244
256,5506,buy,945079906
594,9128,click,945079837
193,5045,buy,964622758
479,1560,view,945629015
139,7397,click,945079956
460,5822,view,945079889
338,8351,view,945079143
23,5131,click,964539357
609,2494,view,945174134
565,319,view,986849001
400,8629,view,964622642
72,3548,buy,964622617
120,2586,buy,964539431
87,297,view,945629179
525,9330,view,964540505
259,4823,view,964622714
303,6254,view,986934786
535,8477,click,986934870
218,9790,click,945079653
521,446,view,964622684
305,8517,buy,945078967
561,827,view,986934786
382,8999,buy,945078690
423,228,buy,945079052
546,9433,buy,945079521
414,1761,view,986935016
511,6701,view,986935328
426,434,view,986934738
593,3790,buy,964539855
551,8066,view,945174008
297,3044,view,945079729
570,6310,buy,964540008
208,7017,view,945629238
486,8846,view,964622590
528,5285,view,964538964
488,7562,click,945078467
548,1733,click,964622590
348,2626,view,945079164
